"American River Bkshs","2017-03-31T00:00:00","AMRB","American River Bkshs"
"Albany Molecular Res","2017-03-31T00:00:00","AMRI","Albany Molecular Res"
"A-Mark Precious Meta","2017-03-31T00:00:00","AMRK","A-Mark Precious Meta"
"Amarin Corp Ads","2017-03-31T00:00:00","AMRN","Amarin Corp Ads"
"Amyris Inc","2017-03-31T00:00:00","AMRS","Amyris Inc"
"Amer Superconductor","2017-03-31T00:00:00","AMSC","Amer Superconductor"
"Amerisafe Inc","2017-03-31T00:00:00","AMSF","Amerisafe Inc"
"Amer Software Inc","2017-03-31T00:00:00","AMSWA","Amer Software Inc"
"TD Ameritrade HD Cmn","2017-03-31T00:00:00","AMTD","TD Ameritrade HD Cmn"
"Aemetis Inc Cmn Stk","2017-03-31T00:00:00","AMTX","Aemetis Inc Cmn Stk"
"Amer Woodmark Cp","2017-03-31T00:00:00","AMWD","Amer Woodmark Cp"
"Amazon.Com Inc","2017-03-31T00:00:00","AMZN","Amazon.Com Inc"
"Anaptysbio Inc","2017-03-31T00:00:00","ANAB","Anaptysbio Inc"
"Amer Natl Insurance","2017-03-31T00:00:00","ANAT","Amer Natl Insurance"
"Anchor Bancorp","2017-03-31T00:00:00","ANCB","Anchor Bancorp"
"Access National Corp","2017-03-31T00:00:00","ANCX","Access National Corp"
"Andina Acq Cp Ord Sh","2017-03-31T00:00:00","ANDA","Andina Acq Cp Ord Sh"
"Andina Acq Cp Rt","2017-03-29T00:00:00","ANDAR","Andina Acq Cp Rt"
"Andina Acq Cp Unit","2017-03-27T00:00:00","ANDAU","Andina Acq Cp Unit"
"Andina Acq Cp Wt","2017-03-30T00:00:00","ANDAW","Andina Acq Cp Wt"
"Andersons Inc","2017-03-31T00:00:00","ANDE","Andersons Inc"
"Angie's List Inc","2017-03-31T00:00:00","ANGI","Angie's List Inc"
"Angiodynamics Inc","2017-03-31T00:00:00","ANGO","Angiodynamics Inc"
"Anika Therapeutics","2017-03-31T00:00:00","ANIK","Anika Therapeutics"
"ANI  Pharma Inc","2017-03-31T00:00:00","ANIP","ANI  Pharma Inc"
"Ansys Inc","2017-03-31T00:00:00","ANSS","Ansys Inc"
"Anthera Pharmaceutic","2017-03-31T00:00:00","ANTH","Anthera Pharmaceutic"
"Sphere 3D Corp","2017-03-31T00:00:00","ANY","Sphere 3D Corp"
"American Outdoor Brands Corp","2017-03-31T00:00:00","AOBC","American Outdoor Brands Corp"
"Alpha and Omega Semi","2017-03-31T00:00:00","AOSL","Alpha and Omega Semi"
"Applied Dna Scns Cmn","2017-03-31T00:00:00","APDN","Applied Dna Scns Cmn"
"Applied Dna Sci Wrnt","2017-03-31T00:00:00","APDNW","Applied Dna Sci Wrnt"
"American Pub. Edu.","2017-03-31T00:00:00","APEI","American Pub. Edu."
"Apollo Endosurgery Inc","2017-03-31T00:00:00","APEN","Apollo Endosurgery Inc"
"Archrock Partners LP","2017-03-31T00:00:00","APLP","Archrock Partners LP"
"Apogee Entrpr Inc","2017-03-31T00:00:00","APOG","Apogee Entrpr Inc"
"Cellect Biotechnology Ltd","2017-03-31T00:00:00","APOP","Cellect Biotechnology Ltd"
"Cellect Biotechnology Ltd","2017-03-31T00:00:00","APOPW","Cellect Biotechnology Ltd"
"Appfolio Cl A Cmn","2017-03-31T00:00:00","APPF","Appfolio Cl A Cmn"
"Digital Turbine Cmn","2017-03-31T00:00:00","APPS","Digital Turbine Cmn"
"Apricus Biosc Inc","2017-03-31T00:00:00","APRI","Apricus Biosc Inc"
"Apptio Inc","2017-03-31T00:00:00","APTI","Apptio Inc"
"Aptose Bioscns Cmn","2017-03-31T00:00:00","APTO","Aptose Bioscns Cmn"
"Aptevo Therapeutics Inc","2017-03-31T00:00:00","APVO","Aptevo Therapeutics Inc"
"Asia Pac Wire &Cable","2017-03-31T00:00:00","APWC","Asia Pac Wire &Cable"
"Aquabounty Technologies Inc","2017-03-31T00:00:00","AQB","Aquabounty Technologies Inc"
"Aqua Metals Inc Cmn","2017-03-31T00:00:00","AQMS","Aqua Metals Inc Cmn"
"Aquinox Pharmaceutic","2017-03-31T00:00:00","AQXP","Aquinox Pharmaceutic"
"Accuray Incorporated","2017-03-31T00:00:00","ARAY","Accuray Incorporated"
"Arcbest Corp","2017-03-31T00:00:00","ARCB","Arcbest Corp"
